query,rule_id,similarity_score,ollama_score
Setup a DNS server with ARP consistency and MTU compliance,r33,0.4009,0.0
I want to deploy a IoT gateway that has at least 16GB of RAM and no packet loss allowed,r1,0.6855,0.05
I want to deploy a IoT gateway that has at least 16GB of RAM and no packet loss allowed,r2,0.6804,0.8
I want to deploy a IoT gateway that has at least 16GB of RAM and no packet loss allowed,r3,0.5427,0.9
I want to deploy a IoT gateway that has at least 16GB of RAM and no packet loss allowed,r4,0.732,0.8
I want to deploy a IoT gateway that has at least 16GB of RAM and no packet loss allowed,r5,0.6208,0.9
I want to deploy a IoT gateway that has at least 16GB of RAM and no packet loss allowed,r6,0.0688,0.05
I want to deploy a IoT gateway that has at least 16GB of RAM and no packet loss allowed,r7,0.3151,0.2
I want to deploy a IoT gateway that has at least 16GB of RAM and no packet loss allowed,r8,0.217,0.3
I want to deploy a IoT gateway that has at least 16GB of RAM and no packet loss allowed,r9,0.3842,0.2
I want to deploy a IoT gateway that has at least 16GB of RAM and no packet loss allowed,r10,0.3326,0.3
I want to deploy a IoT gateway that has at least 16GB of RAM and no packet loss allowed,r11,0.0444,0.1
I want to deploy a IoT gateway that has at least 16GB of RAM and no packet loss allowed,r12,-0.0242,0.2
I want to deploy a IoT gateway that has at least 16GB of RAM and no packet loss allowed,r13,0.1278,0.1
I want to deploy a IoT gateway that has at least 16GB of RAM and no packet loss allowed,r14,0.1304,0.05
I want to deploy a IoT gateway that has at least 16GB of RAM and no packet loss allowed,r15,0.4669,0.0
I want to deploy a IoT gateway that has at least 16GB of RAM and no packet loss allowed,r16,0.2642,0.7
I want to deploy a IoT gateway that has at least 16GB of RAM and no packet loss allowed,r17,0.1726,0.0
I want to deploy a IoT gateway that has at least 16GB of RAM and no packet loss allowed,r18,0.2232,0.7
I want to deploy a IoT gateway that has at least 16GB of RAM and no packet loss allowed,r19,0.2509,0.9
I want to deploy a IoT gateway that has at least 16GB of RAM and no packet loss allowed,r20,0.261,0.9
I want to deploy a IoT gateway that has at least 16GB of RAM and no packet loss allowed,r21,0.2509,0.9
I want to deploy a IoT gateway that has at least 16GB of RAM and no packet loss allowed,r22,0.2705,0.9
I want to deploy a IoT gateway that has at least 16GB of RAM and no packet loss allowed,r23,0.5071,0.0
I want to deploy a IoT gateway that has at least 16GB of RAM and no packet loss allowed,r24,0.5323,0.0
I want to deploy a IoT gateway that has at least 16GB of RAM and no packet loss allowed,r25,0.4864,0.0
I want to deploy a IoT gateway that has at least 16GB of RAM and no packet loss allowed,r26,0.4587,0.0
I want to deploy a IoT gateway that has at least 16GB of RAM and no packet loss allowed,r27,0.4166,0.0
I want to deploy a IoT gateway that has at least 16GB of RAM and no packet loss allowed,r28,0.4292,0.9
I want to deploy a IoT gateway that has at least 16GB of RAM and no packet loss allowed,r29,0.4504,0.9
I want to deploy a IoT gateway that has at least 16GB of RAM and no packet loss allowed,r30,0.4292,0.9
I want to deploy a IoT gateway that has at least 16GB of RAM and no packet loss allowed,r31,0.4401,0.9
I want to deploy a IoT gateway that has at least 16GB of RAM and no packet loss allowed,r32,0.718,0.7
I want to deploy a IoT gateway that has at least 16GB of RAM and no packet loss allowed,r33,0.7282,0.0
Implement a backup server with network flap protection,r1,0.2372,0.05
Implement a backup server with network flap protection,r2,0.278,0.1
Implement a backup server with network flap protection,r3,0.2378,0.1
Implement a backup server with network flap protection,r4,0.3762,0.1
Implement a backup server with network flap protection,r5,0.411,0.1
Implement a backup server with network flap protection,r6,-0.0513,0.0
Implement a backup server with network flap protection,r7,0.2936,0.0
Implement a backup server with network flap protection,r8,0.248,0.0
Implement a backup server with network flap protection,r9,0.327,0.0
Implement a backup server with network flap protection,r10,0.3467,0.0
Implement a backup server with network flap protection,r11,-0.0032,0.0
Implement a backup server with network flap protection,r12,-0.0365,0.0
Implement a backup server with network flap protection,r13,0.3004,0.0
Implement a backup server with network flap protection,r14,-0.0384,0.0
Implement a backup server with network flap protection,r15,0.3408,0.1
Implement a backup server with network flap protection,r16,0.409,0.7
Implement a backup server with network flap protection,r17,0.1569,0.3
Implement a backup server with network flap protection,r18,0.3498,0.9
Implement a backup server with network flap protection,r19,0.3245,0.3
Implement a backup server with network flap protection,r20,0.3062,0.3
Implement a backup server with network flap protection,r21,0.3245,0.3
Implement a backup server with network flap protection,r22,0.3272,0.3
Implement a backup server with network flap protection,r23,0.4997,0.0
Implement a backup server with network flap protection,r24,0.4936,0.0
Implement a backup server with network flap protection,r25,0.528,0.0
Implement a backup server with network flap protection,r26,0.5501,0.0
Implement a backup server with network flap protection,r27,0.4969,0.0
Implement a backup server with network flap protection,r28,0.5397,0.3
Implement a backup server with network flap protection,r29,0.5298,0.3
Implement a backup server with network flap protection,r30,0.5397,0.3
Implement a backup server with network flap protection,r31,0.5321,0.3
Implement a backup server with network flap protection,r32,0.4094,0.0
Implement a backup server with network flap protection,r33,0.5605,0.0
Deploy a video rendering farm with thermal controls and memory safeguards,r1,0.5421,0.1
Deploy a video rendering farm with thermal controls and memory safeguards,r2,0.5479,0.8
Deploy a video rendering farm with thermal controls and memory safeguards,r3,0.5225,0.9
Deploy a video rendering farm with thermal controls and memory safeguards,r4,0.5689,0.8
Deploy a video rendering farm with thermal controls and memory safeguards,r5,0.5756,0.9
Deploy a video rendering farm with thermal controls and memory safeguards,r6,0.0808,0.7
Deploy a video rendering farm with thermal controls and memory safeguards,r7,0.289,0.6
Deploy a video rendering farm with thermal controls and memory safeguards,r8,0.3018,0.7
Deploy a video rendering farm with thermal controls and memory safeguards,r9,0.2957,0.6
Deploy a video rendering farm with thermal controls and memory safeguards,r10,0.3422,0.7
Deploy a video rendering farm with thermal controls and memory safeguards,r11,0.0945,0.9
Deploy a video rendering farm with thermal controls and memory safeguards,r12,0.1197,0.0
Deploy a video rendering farm with thermal controls and memory safeguards,r13,0.1558,0.9
Deploy a video rendering farm with thermal controls and memory safeguards,r14,0.0984,0.2
Deploy a video rendering farm with thermal controls and memory safeguards,r15,0.3304,0.1
Deploy a video rendering farm with thermal controls and memory safeguards,r16,0.289,0.1
Deploy a video rendering farm with thermal controls and memory safeguards,r17,0.1082,0.1
Deploy a video rendering farm with thermal controls and memory safeguards,r18,0.1691,0.1
Deploy a video rendering farm with thermal controls and memory safeguards,r19,0.1679,0.1
Deploy a video rendering farm with thermal controls and memory safeguards,r20,0.177,0.1
Deploy a video rendering farm with thermal controls and memory safeguards,r21,0.1679,0.1
Deploy a video rendering farm with thermal controls and memory safeguards,r22,0.1774,0.1
Deploy a video rendering farm with thermal controls and memory safeguards,r23,0.4363,0.1
Deploy a video rendering farm with thermal controls and memory safeguards,r24,0.4139,0.1
Deploy a video rendering farm with thermal controls and memory safeguards,r25,0.349,0.1
Deploy a video rendering farm with thermal controls and memory safeguards,r26,0.3459,0.1
Deploy a video rendering farm with thermal controls and memory safeguards,r27,0.2783,0.1
Deploy a video rendering farm with thermal controls and memory safeguards,r28,0.3255,0.1
Deploy a video rendering farm with thermal controls and memory safeguards,r29,0.324,0.1
Deploy a video rendering farm with thermal controls and memory safeguards,r30,0.3255,0.1
Deploy a video rendering farm with thermal controls and memory safeguards,r31,0.3046,0.1
Deploy a video rendering farm with thermal controls and memory safeguards,r32,0.5738,0.8
Deploy a video rendering farm with thermal controls and memory safeguards,r33,0.5891,0.1
Setup a mail server with RX error monitoring and buffer protection,r1,0.2517,0.05
Setup a mail server with RX error monitoring and buffer protection,r2,0.3344,0.1
Setup a mail server with RX error monitoring and buffer protection,r3,0.3419,0.1
Setup a mail server with RX error monitoring and buffer protection,r4,0.4217,0.1
Setup a mail server with RX error monitoring and buffer protection,r5,0.4405,0.1
Setup a mail server with RX error monitoring and buffer protection,r6,0.025,0.05
Setup a mail server with RX error monitoring and buffer protection,r7,0.191,0.1
Setup a mail server with RX error monitoring and buffer protection,r8,0.2379,0.1
Setup a mail server with RX error monitoring and buffer protection,r9,0.1987,0.1
Setup a mail server with RX error monitoring and buffer protection,r10,0.2896,0.1
Setup a mail server with RX error monitoring and buffer protection,r11,0.103,0.05
Setup a mail server with RX error monitoring and buffer protection,r12,0.0674,0.05
Setup a mail server with RX error monitoring and buffer protection,r13,0.1992,0.4
Setup a mail server with RX error monitoring and buffer protection,r14,0.0947,0.05
Setup a mail server with RX error monitoring and buffer protection,r15,0.3488,0.05
Setup a mail server with RX error monitoring and buffer protection,r16,0.3524,0.3
Setup a mail server with RX error monitoring and buffer protection,r17,0.0905,0.05
Setup a mail server with RX error monitoring and buffer protection,r18,0.1924,0.3
Setup a mail server with RX error monitoring and buffer protection,r19,0.224,0.7
Setup a mail server with RX error monitoring and buffer protection,r20,0.2068,0.7
Setup a mail server with RX error monitoring and buffer protection,r21,0.224,0.7
Setup a mail server with RX error monitoring and buffer protection,r22,0.2078,0.7
Setup a mail server with RX error monitoring and buffer protection,r23,0.3905,0.4
Setup a mail server with RX error monitoring and buffer protection,r24,0.3493,0.4
Setup a mail server with RX error monitoring and buffer protection,r25,0.3932,0.4
Setup a mail server with RX error monitoring and buffer protection,r26,0.3781,0.05
Setup a mail server with RX error monitoring and buffer protection,r27,0.2969,0.05
Setup a mail server with RX error monitoring and buffer protection,r28,0.3454,0.7
Setup a mail server with RX error monitoring and buffer protection,r29,0.3281,0.7
Setup a mail server with RX error monitoring and buffer protection,r30,0.3454,0.7
Setup a mail server with RX error monitoring and buffer protection,r31,0.3153,0.7
Setup a mail server with RX error monitoring and buffer protection,r32,0.3836,0.4
Setup a mail server with RX error monitoring and buffer protection,r33,0.4962,0.4
Implement a system with CPU utilization guarantees,r1,0.479,0.0
Implement a system with CPU utilization guarantees,r2,0.4215,0.3
Implement a system with CPU utilization guarantees,r3,0.3923,0.6
Implement a system with CPU utilization guarantees,r4,0.5151,0.3
Implement a system with CPU utilization guarantees,r5,0.4633,0.6
Implement a system with CPU utilization guarantees,r6,0.2463,0.0
Implement a system with CPU utilization guarantees,r7,0.508,0.8
Implement a system with CPU utilization guarantees,r8,0.3638,0.9
Implement a system with CPU utilization guarantees,r9,0.4901,0.8
Implement a system with CPU utilization guarantees,r10,0.3944,0.9
Implement a system with CPU utilization guarantees,r11,0.238,0.0
Implement a system with CPU utilization guarantees,r12,0.1689,0.0
Implement a system with CPU utilization guarantees,r13,0.2525,0.0
Implement a system with CPU utilization guarantees,r14,0.2127,0.0
Implement a system with CPU utilization guarantees,r15,0.4146,0.0
Implement a system with CPU utilization guarantees,r16,0.1961,0.0
Implement a system with CPU utilization guarantees,r17,0.2304,0.0
Implement a system with CPU utilization guarantees,r18,0.3165,0.0
Implement a system with CPU utilization guarantees,r19,0.2823,0.0
Implement a system with CPU utilization guarantees,r20,0.2781,0.0
Implement a system with CPU utilization guarantees,r21,0.2823,0.0
Implement a system with CPU utilization guarantees,r22,0.2627,0.0
Implement a system with CPU utilization guarantees,r23,0.336,0.0
Implement a system with CPU utilization guarantees,r24,0.3924,0.0
Implement a system with CPU utilization guarantees,r25,0.3569,0.0
Implement a system with CPU utilization guarantees,r26,0.307,0.0
Implement a system with CPU utilization guarantees,r27,0.3138,0.0
Implement a system with CPU utilization guarantees,r28,0.2951,0.0
Implement a system with CPU utilization guarantees,r29,0.288,0.0
Implement a system with CPU utilization guarantees,r30,0.2951,0.0
Implement a system with CPU utilization guarantees,r31,0.2636,0.0
Implement a system with CPU utilization guarantees,r32,0.4455,0.0
Implement a system with CPU utilization guarantees,r33,0.4292,0.0
Deploy a monitoring server with packet integrity safeguards,r1,0.2407,0.05
Deploy a monitoring server with packet integrity safeguards,r2,0.255,0.1
Deploy a monitoring server with packet integrity safeguards,r3,0.2788,0.1
Deploy a monitoring server with packet integrity safeguards,r4,0.2696,0.1
Deploy a monitoring server with packet integrity safeguards,r5,0.3583,0.1
Deploy a monitoring server with packet integrity safeguards,r6,0.054,0.0
Deploy a monitoring server with packet integrity safeguards,r7,0.271,0.1
Deploy a monitoring server with packet integrity safeguards,r8,0.2674,0.1
Deploy a monitoring server with packet integrity safeguards,r9,0.2567,0.1
Deploy a monitoring server with packet integrity safeguards,r10,0.3021,0.1
Deploy a monitoring server with packet integrity safeguards,r11,0.1497,0.0
Deploy a monitoring server with packet integrity safeguards,r12,0.044,0.0
Deploy a monitoring server with packet integrity safeguards,r13,0.2122,0.0
Deploy a monitoring server with packet integrity safeguards,r14,0.0891,0.0
Deploy a monitoring server with packet integrity safeguards,r15,0.2971,0.0
Deploy a monitoring server with packet integrity safeguards,r16,0.3283,0.7
Deploy a monitoring server with packet integrity safeguards,r17,0.0803,0.5
Deploy a monitoring server with packet integrity safeguards,r18,0.2635,0.7
Deploy a monitoring server with packet integrity safeguards,r19,0.213,0.8
Deploy a monitoring server with packet integrity safeguards,r20,0.2575,0.8
Deploy a monitoring server with packet integrity safeguards,r21,0.213,0.8
Deploy a monitoring server with packet integrity safeguards,r22,0.2597,0.8
Deploy a monitoring server with packet integrity safeguards,r23,0.2969,0.6
Deploy a monitoring server with packet integrity safeguards,r24,0.3269,0.6
Deploy a monitoring server with packet integrity safeguards,r25,0.3525,0.6
Deploy a monitoring server with packet integrity safeguards,r26,0.3691,0.6
Deploy a monitoring server with packet integrity safeguards,r27,0.344,0.6
Deploy a monitoring server with packet integrity safeguards,r28,0.3277,0.8
Deploy a monitoring server with packet integrity safeguards,r29,0.3705,0.8
Deploy a monitoring server with packet integrity safeguards,r30,0.3277,0.8
Deploy a monitoring server with packet integrity safeguards,r31,0.3573,0.8
Deploy a monitoring server with packet integrity safeguards,r32,0.3441,0.0
Deploy a monitoring server with packet integrity safeguards,r33,0.3733,0.6
Create a low-latency database cluster with network stability,r1,0.2213,0.05
Create a low-latency database cluster with network stability,r2,0.2366,0.3
Create a low-latency database cluster with network stability,r3,0.2201,0.4
Create a low-latency database cluster with network stability,r4,0.3096,0.3
Create a low-latency database cluster with network stability,r5,0.3518,0.4
Create a low-latency database cluster with network stability,r6,0.0049,0.05
Create a low-latency database cluster with network stability,r7,0.2234,0.2
Create a low-latency database cluster with network stability,r8,0.1887,0.3
Create a low-latency database cluster with network stability,r9,0.2523,0.2
Create a low-latency database cluster with network stability,r10,0.2759,0.3
Create a low-latency database cluster with network stability,r11,0.0697,0.05
Create a low-latency database cluster with network stability,r12,0.0798,0.1
Create a low-latency database cluster with network stability,r13,0.3934,0.1
Create a low-latency database cluster with network stability,r14,0.058,0.05
Create a low-latency database cluster with network stability,r15,0.1648,0.6
Create a low-latency database cluster with network stability,r16,0.3934,0.7
Create a low-latency database cluster with network stability,r17,0.3302,0.6
Create a low-latency database cluster with network stability,r18,0.3852,0.7
Create a low-latency database cluster with network stability,r19,0.4301,0.7
Create a low-latency database cluster with network stability,r20,0.4547,0.7
Create a low-latency database cluster with network stability,r21,0.4301,0.7
Create a low-latency database cluster with network stability,r22,0.3719,0.7
Create a low-latency database cluster with network stability,r23,0.4334,0.5
Create a low-latency database cluster with network stability,r24,0.474,0.5
Create a low-latency database cluster with network stability,r25,0.4419,0.5
Create a low-latency database cluster with network stability,r26,0.4908,0.5
Create a low-latency database cluster with network stability,r27,0.4187,0.5
Create a low-latency database cluster with network stability,r28,0.4886,0.7
Create a low-latency database cluster with network stability,r29,0.5458,0.7
Create a low-latency database cluster with network stability,r30,0.4886,0.7
Create a low-latency database cluster with network stability,r31,0.4603,0.7
Create a low-latency database cluster with network stability,r32,0.3277,0.4
Create a low-latency database cluster with network stability,r33,0.4336,0.5
Provision a node with DPDK optimizations and error detection,r1,0.2316,0.05
Provision a node with DPDK optimizations and error detection,r2,0.2826,0.1
Provision a node with DPDK optimizations and error detection,r3,0.196,0.1
Provision a node with DPDK optimizations and error detection,r4,0.3763,0.1
Provision a node with DPDK optimizations and error detection,r5,0.3117,0.1
Provision a node with DPDK optimizations and error detection,r6,-0.02,0.05
Provision a node with DPDK optimizations and error detection,r7,0.1521,0.2
Provision a node with DPDK optimizations and error detection,r8,0.1241,0.2
Provision a node with DPDK optimizations and error detection,r9,0.1943,0.2
Provision a node with DPDK optimizations and error detection,r10,0.2177,0.2
Provision a node with DPDK optimizations and error detection,r11,-0.0218,0.1
Provision a node with DPDK optimizations and error detection,r12,0.019,0.1
Provision a node with DPDK optimizations and error detection,r13,0.1413,0.4
Provision a node with DPDK optimizations and error detection,r14,-0.0337,0.05
Provision a node with DPDK optimizations and error detection,r15,0.1751,0.0
Provision a node with DPDK optimizations and error detection,r16,0.2585,0.1
Provision a node with DPDK optimizations and error detection,r17,0.1544,0.0
Provision a node with DPDK optimizations and error detection,r18,0.1658,0.1
Provision a node with DPDK optimizations and error detection,r19,0.3506,0.6
Provision a node with DPDK optimizations and error detection,r20,0.2776,0.6
Provision a node with DPDK optimizations and error detection,r21,0.3506,0.6
Provision a node with DPDK optimizations and error detection,r22,0.2665,0.6
Provision a node with DPDK optimizations and error detection,r23,0.5327,0.7
Provision a node with DPDK optimizations and error detection,r24,0.5719,0.7
Provision a node with DPDK optimizations and error detection,r25,0.5808,0.7
Provision a node with DPDK optimizations and error detection,r26,0.6077,0.7
Provision a node with DPDK optimizations and error detection,r27,0.5344,0.7
Provision a node with DPDK optimizations and error detection,r28,0.7064,0.6
Provision a node with DPDK optimizations and error detection,r29,0.6116,0.6
Provision a node with DPDK optimizations and error detection,r30,0.7064,0.6
Provision a node with DPDK optimizations and error detection,r31,0.6047,0.6
Provision a node with DPDK optimizations and error detection,r32,0.5236,0.8
Provision a node with DPDK optimizations and error detection,r33,0.6618,0.8
Setup a virtualization host with memory buffer guarantees,r1,0.6636,0.1
Setup a virtualization host with memory buffer guarantees,r2,0.6726,0.9
Setup a virtualization host with memory buffer guarantees,r3,0.5947,0.8
Setup a virtualization host with memory buffer guarantees,r4,0.7335,0.9
Setup a virtualization host with memory buffer guarantees,r5,0.7166,0.8
Setup a virtualization host with memory buffer guarantees,r6,0.1172,0.2
Setup a virtualization host with memory buffer guarantees,r7,0.3661,0.3
Setup a virtualization host with memory buffer guarantees,r8,0.2898,0.2
Setup a virtualization host with memory buffer guarantees,r9,0.427,0.3
Setup a virtualization host with memory buffer guarantees,r10,0.3977,0.2
Setup a virtualization host with memory buffer guarantees,r11,0.116,0.1
Setup a virtualization host with memory buffer guarantees,r12,0.0064,0.1
Setup a virtualization host with memory buffer guarantees,r13,0.1683,0.1
Setup a virtualization host with memory buffer guarantees,r14,0.187,0.1
Setup a virtualization host with memory buffer guarantees,r15,0.5469,0.1
Setup a virtualization host with memory buffer guarantees,r16,0.2605,0.1
Setup a virtualization host with memory buffer guarantees,r17,0.1407,0.1
Setup a virtualization host with memory buffer guarantees,r18,0.2236,0.1
Setup a virtualization host with memory buffer guarantees,r19,0.1849,0.1
Setup a virtualization host with memory buffer guarantees,r20,0.2,0.1
Setup a virtualization host with memory buffer guarantees,r21,0.1849,0.1
Setup a virtualization host with memory buffer guarantees,r22,0.2036,0.1
Setup a virtualization host with memory buffer guarantees,r23,0.408,0.1
Setup a virtualization host with memory buffer guarantees,r24,0.4194,0.1
Setup a virtualization host with memory buffer guarantees,r25,0.4197,0.1
Setup a virtualization host with memory buffer guarantees,r26,0.3712,0.1
Setup a virtualization host with memory buffer guarantees,r27,0.3536,0.1
Setup a virtualization host with memory buffer guarantees,r28,0.3157,0.1
Setup a virtualization host with memory buffer guarantees,r29,0.3442,0.1
Setup a virtualization host with memory buffer guarantees,r30,0.3157,0.1
Setup a virtualization host with memory buffer guarantees,r31,0.3188,0.1
Setup a virtualization host with memory buffer guarantees,r32,0.6917,0.7
Setup a virtualization host with memory buffer guarantees,r33,0.6517,0.1
Implement a system with temperature fail-safes,r1,0.231,0.0
Implement a system with temperature fail-safes,r2,0.2646,0.0
Implement a system with temperature fail-safes,r3,0.239,0.0
Implement a system with temperature fail-safes,r4,0.2722,0.0
Implement a system with temperature fail-safes,r5,0.2531,0.0
Implement a system with temperature fail-safes,r6,0.047,0.0
Implement a system with temperature fail-safes,r7,0.1983,0.0
Implement a system with temperature fail-safes,r8,0.1963,0.0
Implement a system with temperature fail-safes,r9,0.1713,0.0
Implement a system with temperature fail-safes,r10,0.1994,0.0
Implement a system with temperature fail-safes,r11,0.2326,0.9
Implement a system with temperature fail-safes,r12,0.2216,0.0
Implement a system with temperature fail-safes,r13,0.2503,0.8
Implement a system with temperature fail-safes,r14,0.1181,0.0
Implement a system with temperature fail-safes,r15,0.2339,0.0
Implement a system with temperature fail-safes,r16,0.3421,0.0
Implement a system with temperature fail-safes,r17,0.1226,0.0
Implement a system with temperature fail-safes,r18,0.1508,0.0
Implement a system with temperature fail-safes,r19,0.2678,0.0
Implement a system with temperature fail-safes,r20,0.1381,0.0
Implement a system with temperature fail-safes,r21,0.2678,0.0
Implement a system with temperature fail-safes,r22,0.1901,0.0
Implement a system with temperature fail-safes,r23,0.3489,0.0
Implement a system with temperature fail-safes,r24,0.2138,0.0
Implement a system with temperature fail-safes,r25,0.3388,0.0
Implement a system with temperature fail-safes,r26,0.2403,0.0
Implement a system with temperature fail-safes,r27,0.3193,0.0
Implement a system with temperature fail-safes,r28,0.3616,0.0
Implement a system with temperature fail-safes,r29,0.2112,0.0
Implement a system with temperature fail-safes,r30,0.3616,0.0
Implement a system with temperature fail-safes,r31,0.2484,0.0
Implement a system with temperature fail-safes,r32,0.3049,0.0
Implement a system with temperature fail-safes,r33,0.4017,0.0
Deploy a mobile backend with SSH access monitoring,r1,0.2812,0.05
Deploy a mobile backend with SSH access monitoring,r2,0.2676,0.1
Deploy a mobile backend with SSH access monitoring,r3,0.2311,0.1
Deploy a mobile backend with SSH access monitoring,r4,0.3265,0.1
Deploy a mobile backend with SSH access monitoring,r5,0.3147,0.1
Deploy a mobile backend with SSH access monitoring,r6,0.0615,0.0
Deploy a mobile backend with SSH access monitoring,r7,0.1882,0.0
Deploy a mobile backend with SSH access monitoring,r8,0.1726,0.0
Deploy a mobile backend with SSH access monitoring,r9,0.2724,0.0
Deploy a mobile backend with SSH access monitoring,r10,0.272,0.0
Deploy a mobile backend with SSH access monitoring,r11,0.0898,0.0
Deploy a mobile backend with SSH access monitoring,r12,0.0098,0.0
Deploy a mobile backend with SSH access monitoring,r13,0.0584,0.0
Deploy a mobile backend with SSH access monitoring,r14,0.1648,0.0
Deploy a mobile backend with SSH access monitoring,r15,0.6578,0.9
Deploy a mobile backend with SSH access monitoring,r16,0.2001,0.0
Deploy a mobile backend with SSH access monitoring,r17,0.1648,0.0
Deploy a mobile backend with SSH access monitoring,r18,0.1739,0.0
Deploy a mobile backend with SSH access monitoring,r19,0.1627,0.0
Deploy a mobile backend with SSH access monitoring,r20,0.1571,0.0
Deploy a mobile backend with SSH access monitoring,r21,0.1627,0.0
Deploy a mobile backend with SSH access monitoring,r22,0.178,0.0
Deploy a mobile backend with SSH access monitoring,r23,0.1823,0.0
Deploy a mobile backend with SSH access monitoring,r24,0.2471,0.0
Deploy a mobile backend with SSH access monitoring,r25,0.2341,0.0
Deploy a mobile backend with SSH access monitoring,r26,0.2687,0.0
Deploy a mobile backend with SSH access monitoring,r27,0.222,0.0
Deploy a mobile backend with SSH access monitoring,r28,0.2109,0.0
Deploy a mobile backend with SSH access monitoring,r29,0.2134,0.0
Deploy a mobile backend with SSH access monitoring,r30,0.2109,0.0
Deploy a mobile backend with SSH access monitoring,r31,0.2312,0.0
Deploy a mobile backend with SSH access monitoring,r32,0.2324,0.0
Deploy a mobile backend with SSH access monitoring,r33,0.2451,0.0
Create a distributed cache system with network drop prevention,r1,0.3083,0.05
Create a distributed cache system with network drop prevention,r2,0.3826,0.3
Create a distributed cache system with network drop prevention,r3,0.3499,0.4
Create a distributed cache system with network drop prevention,r4,0.4006,0.3
Create a distributed cache system with network drop prevention,r5,0.4178,0.4
Create a distributed cache system with network drop prevention,r6,-0.0104,0.05
Create a distributed cache system with network drop prevention,r7,0.1903,0.2
Create a distributed cache system with network drop prevention,r8,0.1956,0.3
Create a distributed cache system with network drop prevention,r9,0.1874,0.2
Create a distributed cache system with network drop prevention,r10,0.2471,0.3
Create a distributed cache system with network drop prevention,r11,0.0493,0.05
Create a distributed cache system with network drop prevention,r12,0.0013,0.1
Create a distributed cache system with network drop prevention,r13,0.1922,0.1
Create a distributed cache system with network drop prevention,r14,0.0223,0.05
Create a distributed cache system with network drop prevention,r15,0.1967,0.6
Create a distributed cache system with network drop prevention,r16,0.4155,0.7
Create a distributed cache system with network drop prevention,r17,0.2074,0.6
Create a distributed cache system with network drop prevention,r18,0.3083,0.7
Create a distributed cache system with network drop prevention,r19,0.3564,0.7
Create a distributed cache system with network drop prevention,r20,0.4022,0.7
Create a distributed cache system with network drop prevention,r21,0.3564,0.7
Create a distributed cache system with network drop prevention,r22,0.3675,0.7
Create a distributed cache system with network drop prevention,r23,0.5793,0.5
Create a distributed cache system with network drop prevention,r24,0.5474,0.5
Create a distributed cache system with network drop prevention,r25,0.529,0.5
Create a distributed cache system with network drop prevention,r26,0.5627,0.5
Create a distributed cache system with network drop prevention,r27,0.4581,0.5
Create a distributed cache system with network drop prevention,r28,0.5488,0.7
Create a distributed cache system with network drop prevention,r29,0.5856,0.7
Create a distributed cache system with network drop prevention,r30,0.5488,0.7
Create a distributed cache system with network drop prevention,r31,0.5386,0.7
Create a distributed cache system with network drop prevention,r32,0.4842,0.4
Create a distributed cache system with network drop prevention,r33,0.6461,0.5
Provision a big data analytics node with CPU thermal protection,r1,0.2114,0.05
Provision a big data analytics node with CPU thermal protection,r2,0.214,0.3
Provision a big data analytics node with CPU thermal protection,r3,0.2411,0.4
Provision a big data analytics node with CPU thermal protection,r4,0.3816,0.05
Provision a big data analytics node with CPU thermal protection,r5,0.4416,0.3
Provision a big data analytics node with CPU thermal protection,r6,0.1519,0.05
Provision a big data analytics node with CPU thermal protection,r7,0.4849,0.6
Provision a big data analytics node with CPU thermal protection,r8,0.4117,0.7
Provision a big data analytics node with CPU thermal protection,r9,0.5121,0.6
Provision a big data analytics node with CPU thermal protection,r10,0.5097,0.7
Provision a big data analytics node with CPU thermal protection,r11,0.2871,0.8
Provision a big data analytics node with CPU thermal protection,r12,0.3147,0.9
Provision a big data analytics node with CPU thermal protection,r13,0.314,0.8
Provision a big data analytics node with CPU thermal protection,r14,0.146,0.1
Provision a big data analytics node with CPU thermal protection,r15,0.3225,0.0
Provision a big data analytics node with CPU thermal protection,r16,0.284,0.0
Provision a big data analytics node with CPU thermal protection,r17,0.1687,0.0
Provision a big data analytics node with CPU thermal protection,r18,0.2468,0.0
Provision a big data analytics node with CPU thermal protection,r19,0.2213,0.0
Provision a big data analytics node with CPU thermal protection,r20,0.2533,0.0
Provision a big data analytics node with CPU thermal protection,r21,0.2213,0.0
Provision a big data analytics node with CPU thermal protection,r22,0.2322,0.0
Provision a big data analytics node with CPU thermal protection,r23,0.3718,0.0
Provision a big data analytics node with CPU thermal protection,r24,0.3823,0.0
Provision a big data analytics node with CPU thermal protection,r25,0.3378,0.0
Provision a big data analytics node with CPU thermal protection,r26,0.3502,0.0
Provision a big data analytics node with CPU thermal protection,r27,0.2785,0.0
Provision a big data analytics node with CPU thermal protection,r28,0.316,0.0
Provision a big data analytics node with CPU thermal protection,r29,0.3374,0.0
Provision a big data analytics node with CPU thermal protection,r30,0.316,0.0
Provision a big data analytics node with CPU thermal protection,r31,0.3066,0.0
Provision a big data analytics node with CPU thermal protection,r32,0.3185,0.1
Provision a big data analytics node with CPU thermal protection,r33,0.354,0.0
Setup a compliance server with memory usage auditing,r1,0.7417,0.65
Setup a compliance server with memory usage auditing,r2,0.6805,0.95
Setup a compliance server with memory usage auditing,r3,0.5344,0.85
Setup a compliance server with memory usage auditing,r4,0.7155,0.95
Setup a compliance server with memory usage auditing,r5,0.5957,0.85
Setup a compliance server with memory usage auditing,r6,0.1039,0.7
Setup a compliance server with memory usage auditing,r7,0.3282,0.3
Setup a compliance server with memory usage auditing,r8,0.2327,0.2
